doi,pub_date,num_files,num_bytes,total_downloads,num_relationships,subject
10.13012/B2IDB-2176715_V1,2022-05-20,5,34929195829,53,4,Life Sciences
10.13012/B2IDB-6834324_V1,2020-09-27,2,6802,139,1,Social Sciences
10.13012/B2IDB-3331845_V1,2020-02-23,2,209084,281,6,Social Sciences
10.13012/B2IDB-7290912_V1,2020-02-05,2,628154,285,0,Life Sciences
10.13012/B2IDB-1403534_V1,2019-10-30,4,535930,276,7,Social Sciences
10.13012/B2IDB-0065911_V1,2020-06-03,10,13792722281,406,2,Life Sciences
10.13012/B2IDB-0742378_V1,2020-10-01,1,3721802,156,1,Life Sciences
10.13012/B2IDB-8882752_V1,2020-05-17,15,7832442357,851,1,Social Sciences
10.13012/B2IDB-1530066_V1,2020-04-20,5,1439049,294,0,Life Sciences
10.13012/B2IDB-7525764_V2,2020-01-27,13,100690397,877,2,Physical Sciences
10.13012/B2IDB-9081595_V1,2020-06-03,40,459771118404,1433,0,Physical Sciences
10.13012/B2IDB-2476863_V1,2020-06-19,4,35359492,240,3,Social Sciences
10.13012/B2IDB-8157303_V1,2022-02-14,2,1796616015,30,2,Physical Sciences
10.13012/B2IDB-5152821_V1,2020-01-31,10,1313764,823,2,Life Sciences
10.13012/B2IDB-2603648_V1,2020-05-15,3,71958,386,3,Social Sciences
10.13012/B2IDB-0595759_V1,2020-06-30,1,819561,182,1,Life Sciences
10.13012/B2IDB-0490928_V1,2020-02-27,1,27899233,207,3,Life Sciences
10.13012/B2IDB-3331845_V2,2020-09-02,4,276165,255,4,Social Sciences
10.13012/B2IDB-1403534_V2,2020-03-03,6,876576,720,7,Social Sciences
10.13012/B2IDB-6100626_V1,2020-03-14,19,178185,879,2,Life Sciences
10.13012/B2IDB-4821336_V1,2020-05-30,1,3112035,178,1,Life Sciences
10.13012/B2IDB-2643961_V1,2020-09-25,2,3373515801,167,2,Life Sciences
10.13012/B2IDB-9059263_V1,2020-05-31,18,17981396277,813,1,Life Sciences
10.13012/B2IDB-4237085_V1,2020-08-18,6,15564901,265,2,Social Sciences
10.13012/B2IDB-5649852_V1,2020-05-11,6,20651724,396,0,Social Sciences
10.13012/B2IDB-2626814_V3,2020-07-15,15,576743732,363,2,Life Sciences
10.13012/B2IDB-7683513_V1,2021-07-21,2,21223,69,2,Life Sciences
10.13012/B2IDB-0647142_V3,2020-05-04,13,2210296637,1848,6,Social Sciences
10.13012/B2IDB-4272529_V1,2020-10-15,15,800991628,355,0,Life Sciences
10.13012/B2IDB-4484338_V1,2018-11-18,7,20627885646,857,1,Technology and Engineering
10.13012/B2IDB-3596430_V1,2020-10-01,7,19176633,272,1,Life Sciences
10.13012/B2IDB-9222782_V1,2020-06-12,6,196503,363,2,Social Sciences
10.13012/B2IDB-4470290_V1,2020-08-01,2,114872,276,1,Life Sciences
10.13012/B2IDB-5565022_V1,2021-07-12,2,24059708547,49,0,Life Sciences
10.13012/B2IDB-8585682_V1,2021-09-06,2,387400947,20,0,Physical Sciences
10.13012/B2IDB-7897650_V1,2020-05-12,227,44972143,2133,0,Physical Sciences
10.13012/B2IDB-0818023_V1,2020-09-25,89,32470268767,782,1,Life Sciences
10.13012/B2IDB-4638196_V1,2020-05-13,3,384211849,309,0,Social Sciences
10.13012/B2IDB-0925335_V1,2020-08-19,3,3003439347,207,0,Technology and Engineering
10.13012/B2IDB-9238850_V1,2020-10-30,1,74278,60,0,Life Sciences
10.13012/B2IDB-3968226_V1,2020-06-11,21,3636343868,574,2,Technology and Engineering
10.13012/B2IDB-0685545_V1,2022-08-06,2,505260,56,0,Life Sciences
10.13012/B2IDB-9179636_V1,2021-05-13,4,19725901,67,0,Life Sciences
10.13012/B2IDB-0533274_V1,2021-02-28,3,8553261850,140,0,Physical Sciences
10.13012/B2IDB-6771049_V1,2020-09-17,4,764219,158,1,Life Sciences
10.13012/B2IDB-1681718_V1,2020-12-07,15,85075235,229,0,Life Sciences
10.13012/B2IDB-8470827_V1,2020-07-10,6,323654,241,0,Life Sciences
10.13012/B2IDB-0791318_V1,2020-08-10,1,7202795,88,1,Physical Sciences
10.13012/B2IDB-2224392_V1,2020-08-11,3,2166274525,114,1,Life Sciences
10.13012/B2IDB-8170405_V1,2020-09-18,14,32728855630,265,0,Life Sciences
