doi,pub_date,num_files,num_bytes,total_downloads,num_relationships,subject
10.13012/B2IDB-2128477_V1,9/17/2019,16,2883560600,723,1,Life Sciences
10.13012/B2IDB-1917934_V1,9/17/2019,39,1.05E+11,1740,4,Social Sciences
10.13012/B2IDB-7724021_V1,9/6/2019,1,392349,409,0,Social Sciences
10.13012/B2IDB-1599850_V1,9/5/2019,1,408755115,251,0,Life Sciences
10.13012/B2IDB-7439710_V1,9/1/2019,109,1904704174,3154,0,Technology and Engineering
10.13012/B2IDB-2501832_V1,8/30/2019,3,104026,263,1,Life Sciences
10.13012/B2IDB-0647142_V1,8/30/2019,9,1595749231,1715,3,Social Sciences
10.13012/B2IDB-5333299_V1,8/29/2019,1,16362343,169,1,Life Sciences
10.13012/B2IDB-7407320_V1,8/29/2019,4,36337008,814,2,Social Sciences
10.13012/B2IDB-7539223_V1,8/15/2019,50,84506,2335,0,Life Sciences
10.13012/B2IDB-9797270_V1,8/13/2019,7,1809636,472,1,Life Sciences
10.13012/B2IDB-1461292_V1,8/5/2019,26,576183659,1247,1,Life Sciences
10.13012/B2IDB-1747658_V1,7/29/2019,4,148614584,355,3,Life Sciences
10.13012/B2IDB-1402948_V1,7/27/2019,6,22535714877,503,3,Life Sciences
10.13012/B2IDB-0016089_V2,7/26/2019,4,10168,437,1,Life Sciences
10.13012/B2IDB-0016089_V1,7/18/2019,3,39489,166,1,Life Sciences
10.13012/B2IDB-1401121_V1,7/11/2019,5,133483,638,1,Life Sciences
10.13012/B2IDB-8020612_V1,7/8/2019,5,42940163225,370,0,Social Sciences
10.13012/B2IDB-4551278_V1,7/8/2019,13,51115981389,812,0,Social Sciences
10.13012/B2IDB-8512100_V1,7/8/2019,3,80462,368,1,Life Sciences
10.13012/B2IDB-9721455_V1,7/4/2019,1,208761,226,1,Life Sciences
10.13012/B2IDB-9734610_V1,7/4/2019,1,2780803,173,0,Life Sciences
10.13012/B2IDB-9223847_V1,6/22/2019,2,4275,278,3,Life Sciences
10.13012/B2IDB-3805242_V1.1,6/13/2019,2,402913,470,6,Social Sciences
10.13012/B2IDB-1530363_V1,6/12/2019,8,2620790376,738,1,Life Sciences
10.13012/B2IDB-7281207_V1,6/11/2019,3,339464,336,0,Physical Sciences
10.13012/B2IDB-6862941_V1,6/5/2019,33,7349085752,1605,1,Life Sciences
10.13012/B2IDB-4447017_V1,6/3/2019,4,537586205,572,0,Life Sciences
10.13012/B2IDB-9440404_V1,5/31/2019,5,19136471,420,0,Social Sciences
10.13012/B2IDB-9733959_V1,5/31/2019,4,3087876,418,1,Life Sciences
10.13012/B2IDB-0214000_V1,5/22/2019,8,21244133176,596,0,Physical Sciences
10.13012/B2IDB-0779814_V1,5/20/2019,4,9810439052,279,0,Physical Sciences
10.13012/B2IDB-5372808_V1,5/16/2019,6,69239,503,1,Life Sciences
10.13012/B2IDB-0569467_V2,5/16/2019,23,8067670104,1897,2,Life Sciences
10.13012/B2IDB-3352362_V1,5/10/2019,1,235924883,203,0,Life Sciences
10.13012/B2IDB-3407079_V1,5/8/2019,1,63940,157,0,Life Sciences
10.13012/B2IDB-3285089_V1,5/8/2019,1,142059,155,0,Life Sciences
10.13012/B2IDB-4623305_V1,5/8/2019,1,2058279,483,0,Life Sciences
10.13012/B2IDB-6773581_V1,5/8/2019,1,8277179,450,0,Life Sciences
10.13012/B2IDB-8212056_V1,5/8/2019,1,1852974,541,0,Life Sciences
10.13012/B2IDB-3292716_V1,5/7/2019,4,33283,357,0,Life Sciences
10.13012/B2IDB-4085385_V1,5/1/2019,10,14033273877,617,2,Physical Sciences
10.13012/B2IDB-5958960_V2,4/5/2019,1,1560829,239,0,Social Sciences
10.13012/B2IDB-0790815_V3,3/25/2019,42,1606379919,4431,6,Life Sciences
10.13012/B2IDB-2044905_V1,3/22/2019,12,933923079,806,3,Life Sciences
10.13012/B2IDB-9570561_V1,3/19/2019,10,739866776,725,2,Life Sciences
10.13012/B2IDB-4384362_V1,3/19/2019,3,5168389,427,1,Physical Sciences
10.13012/B2IDB-2887291_V1,3/13/2019,1,63559,185,1,Life Sciences
10.13012/B2IDB-9033534_V1,3/6/2019,11,334267,1118,1,Life Sciences
10.13012/B2IDB-7478121_V2,3/6/2019,10,477326,697,1,Life Sciences
10.13012/B2IDB-9119873_V1,3/5/2019,17,5186289,1056,1,Physical Sciences
10.13012/B2-3125702_V1,2/26/2019,9,40149970567,963,5,Life Sciences
10.13012/B2-3044828_V1,2/22/2019,4,4953054277,519,2,Technology and Engineering
10.13012/B2IDB-3993338_V1,2/19/2019,18,3229509,1623,1,Social Sciences
10.13012/B2IDB-1678505_V1,2/7/2019,10,2462012689,708,0,Life Sciences
10.13012/B2IDB-6066174_V1,2/2/2019,1,24064,293,1,Life Sciences
10.13012/B2IDB-7869554_V1,2/2/2019,1,14788,227,1,Life Sciences
10.13012/B2IDB-8518809_V1,1/27/2019,4,1576470031,921,0,Life Sciences
10.13012/B2IDB-0873454_V1,1/7/2019,2,11809436,905,1,Social Sciences
10.13012/B2IDB-5634345_V1,12/31/2018,2,20407,405,1,Social Sciences
10.13012/B2IDB-3782968_V1,12/20/2018,1,135258,269,0,Social Sciences
10.13012/B2IDB-5075871_V1,12/20/2018,1,71702,236,0,Social Sciences
10.13012/B2IDB-9686195_V2,12/20/2018,1,39818,272,0,Technology and Engineering
10.13012/B2IDB-9837167_V1,12/20/2018,1,15596,227,0,Social Sciences
10.13012/B2IDB-8659314_V1,12/20/2018,1,4368,256,0,Social Sciences
10.13012/B2IDB-5958960_V1,12/20/2018,1,1560829,182,0,Social Sciences
10.13012/B2IDB-0790815_V2,12/19/2018,35,1583597165,3328,5,Life Sciences
10.13012/B2IDB-7323993_V1,12/14/2018,2,18134,404,1,Social Sciences
10.13012/B2IDB-0024113_V1,12/13/2018,1,483320914,262,0,Physical Sciences
10.13012/B2IDB-6316661_V2,12/13/2018,1,636176264,285,0,Technology and Engineering
10.13012/B2IDB-6316661_V1,12/12/2018,1,443989510,134,0,
